WaferID, Point No , Film Thickness , Fit Rate , X[mm] , Y[mm] 
GL5KX074SEH0,1,12489,954,0,-3.6
GL5KX074SEH0,2,12488,955,19.3,-19.3
GL5KX074SEH0,3,12487,955,19.3,19.3
GL5KX074SEH0,4,12444,959,-47.5,-36.4
GL5KX074SEH0,5,12444,959,-57.9,19.3
GL5KX074SEH0,6,12445,959,-19.3,-57.9
GL5KX074SEH0,7,12444,960,-19.3,57.9
GL5KX074SEH0,8,12428,961,71.2,-3.6
GL5KX074SEH0,9,12405,962,57.9,57.9
GL5KX074SEH0,10,12382,963,-71.2,61.9
GL5KX074SEH0,11,12389,963,19.3,-96.5
GL5KX074SEH0,12,12378,964,19.3,96.5
GL5KX074SEH0,13,12378,964,96.5,19.3
GL5KX074SEH0,14,12385,963,71.2,-69.2
GL5KX074SEH0,15,12354,964,-96.5,-57.9
GL5KX074SEH0,16,12364,964,-57.9,-96.5
GL5KX074SEH0,17,12357,965,-57.9,96.5
GL5KX074SEH0,18,12350,965,94.9,61.8
GL5KX074SEH0,19,12339,965,-118.6,-3.6
GL5KX074SEH0,20,12333,966,0,127.4
GL5KX074SEH0,21,12349,965,0,-134.7
GL5KX074SEH0,22,12339,966,-96.5,96.5
GL5KX074SEH0,23,12339,965,96.5,-96.5
GL5KX074SEH0,24,12332,966,136.2,19.3
GL5KX074SEH0,25,12406,962,71.2,127.4
GL5KX074SEH0,26,12480,959,142.4,-36.4
GL5KX074SEH0,27,12596,955,-136.2,-57.9
GL5KX074SEH0,28,12601,954,-136.2,57.9
GL5KX074SEH0,29,12615,954,-57.9,-136.2
GL5KX074SEH0,30,12595,955,-57.9,136.2
GL5KX074SEH0,31,12621,954,57.9,-136.2
GL5KX074SEH0,32,12592,955,136.2,57.9
DP3JB030JKA5,1,12451,954,0,-3.6
DP3JB030JKA5,2,12399,959,19.3,-19.3
DP3JB030JKA5,3,12400,959,19.3,19.3
DP3JB030JKA5,4,12430,959,-47.5,-36.4
DP3JB030JKA5,5,12427,960,-57.9,19.3
DP3JB030JKA5,6,12416,960,-19.3,-57.9
DP3JB030JKA5,7,12429,960,-19.3,57.9
DP3JB030JKA5,8,12381,963,71.2,-3.6
DP3JB030JKA5,9,12347,965,57.9,57.9
DP3JB030JKA5,10,12321,966,-71.2,61.9
DP3JB030JKA5,11,12292,967,19.3,-96.5
DP3JB030JKA5,12,12302,967,19.3,96.5
DP3JB030JKA5,13,12308,967,96.5,19.3
DP3JB030JKA5,14,12294,967,71.2,-69.2
DP3JB030JKA5,15,12268,968,-96.5,-57.9
DP3JB030JKA5,16,12268,968,-57.9,-96.5
DP3JB030JKA5,17,12275,968,-57.9,96.5
DP3JB030JKA5,18,12283,968,94.9,61.8
DP3JB030JKA5,19,12267,968,-118.6,-3.6
DP3JB030JKA5,20,12253,969,0,127.4
DP3JB030JKA5,21,12230,970,0,-134.7
DP3JB030JKA5,22,12239,969,-96.5,96.5
DP3JB030JKA5,23,12245,969,96.5,-96.5
DP3JB030JKA5,24,12260,969,136.2,19.3
DP3JB030JKA5,25,12355,965,71.2,127.4
DP3JB030JKA5,26,12396,963,142.4,-36.4
DP3JB030JKA5,27,12512,958,-136.2,-57.9
DP3JB030JKA5,28,12505,958,-136.2,57.9
DP3JB030JKA5,29,12494,958,-57.9,-136.2
DP3JB030JKA5,30,12493,958,-57.9,136.2
DP3JB030JKA5,31,12494,958,57.9,-136.2
DP3JB030JKA5,32,12534,957,136.2,57.9
3JEXP318SLA6,1,12476,953,0,-3.6
3JEXP318SLA6,2,12476,955,19.3,-19.3
3JEXP318SLA6,3,12474,955,19.3,19.3
3JEXP318SLA6,4,12461,958,-47.5,-36.4
3JEXP318SLA6,5,12464,957,-57.9,19.3
3JEXP318SLA6,6,12447,958,-19.3,-57.9
3JEXP318SLA6,7,12463,958,-19.3,57.9
3JEXP318SLA6,8,12432,960,71.2,-3.6
3JEXP318SLA6,9,12392,962,57.9,57.9
3JEXP318SLA6,10,12373,963,-71.2,61.9
3JEXP318SLA6,11,12351,964,19.3,-96.5
3JEXP318SLA6,12,12365,964,19.3,96.5
3JEXP318SLA6,13,12374,963,96.5,19.3
3JEXP318SLA6,14,12358,964,71.2,-69.2
3JEXP318SLA6,15,12315,965,-96.5,-57.9
3JEXP318SLA6,16,12314,965,-57.9,-96.5
3JEXP318SLA6,17,12328,965,-57.9,96.5
3JEXP318SLA6,18,12353,965,94.9,61.8
3JEXP318SLA6,19,12311,966,-118.6,-3.6
3JEXP318SLA6,20,12309,967,0,127.4
3JEXP318SLA6,21,12304,967,0,-134.7
3JEXP318SLA6,22,12297,967,-96.5,96.5
3JEXP318SLA6,23,12320,966,96.5,-96.5
3JEXP318SLA6,24,12351,965,136.2,19.3
3JEXP318SLA6,25,12380,963,71.2,127.4
3JEXP318SLA6,26,12486,959,142.4,-36.4
3JEXP318SLA6,27,12545,956,-136.2,-57.9
3JEXP318SLA6,28,12556,956,-136.2,57.9
3JEXP318SLA6,29,12536,956,-57.9,-136.2
3JEXP318SLA6,30,12557,956,-57.9,136.2
3JEXP318SLA6,31,12570,955,57.9,-136.2
3JEXP318SLA6,32,12587,955,136.2,57.9
GL5KX072SEF7,1,12490,955,0,-3.6
GL5KX072SEF7,2,12479,957,19.3,-19.3
GL5KX072SEF7,3,12487,956,19.3,19.3
GL5KX072SEF7,4,12414,961,-47.5,-36.4
GL5KX072SEF7,5,12412,961,-57.9,19.3
GL5KX072SEF7,6,12404,961,-19.3,-57.9
GL5KX072SEF7,7,12404,962,-19.3,57.9
GL5KX072SEF7,8,12364,964,71.2,-3.6
GL5KX072SEF7,9,12345,965,57.9,57.9
GL5KX072SEF7,10,12329,965,-71.2,61.9
GL5KX072SEF7,11,12309,966,19.3,-96.5
GL5KX072SEF7,12,12313,967,19.3,96.5
GL5KX072SEF7,13,12299,967,96.5,19.3
GL5KX072SEF7,14,12298,967,71.2,-69.2
GL5KX072SEF7,15,12295,967,-96.5,-57.9
GL5KX072SEF7,16,12290,967,-57.9,-96.5
GL5KX072SEF7,17,12286,967,-57.9,96.5
GL5KX072SEF7,18,12274,969,94.9,61.8
GL5KX072SEF7,19,12281,967,-118.6,-3.6
GL5KX072SEF7,20,12262,969,0,127.4
GL5KX072SEF7,21,12252,969,0,-134.7
GL5KX072SEF7,22,12267,968,-96.5,96.5
GL5KX072SEF7,23,12248,970,96.5,-96.5
GL5KX072SEF7,24,12246,970,136.2,19.3
GL5KX072SEF7,25,12340,966,71.2,127.4
GL5KX072SEF7,26,12365,965,142.4,-36.4
GL5KX072SEF7,27,12520,957,-136.2,-57.9
GL5KX072SEF7,28,12519,957,-136.2,57.9
GL5KX072SEF7,29,12526,956,-57.9,-136.2
GL5KX072SEF7,30,12529,957,-57.9,136.2
GL5KX072SEF7,31,12501,957,57.9,-136.2
GL5KX072SEF7,32,12495,959,136.2,57.9
